ID;Datetime;Latitude;Longitude;Temperature (Cº);Wind Speed (Km/H);Humidity (%);Risk factor;Surroundings;Distance (Mts);Decisions
13;01/12/2023 02:10:00;-33.050642;-71.50504600000002;29;29;42;wastes;house;77;['Notify local collaborators', 'Contact waste collectors']
14;01/12/2023 02:20:00;-33.050642;-71.51004600000002;30;29;44;fire;ground;144;['Call fire fighters', 'Notify government authorities', 'Request support to security forces', 'Notify local collaborators']
15;01/12/2023 02:30:00;-33.050642;-71.51504600000001;31;31;42;glass;fuel recipient;37;['Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
16;01/12/2023 02:40:00;-33.050642;-71.52004600000001;32;28;42;lighting a grill;electric connection;7;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
17;01/12/2023 02:50:00;-33.050642;-71.525046;32;25;42;bonfire;street;15;['Call fire fighters']
18;01/12/2023 03:00:00;-33.050642;-71.530046;15;22;42;papers;dry grass;2;['Notify local collaborators', 'Contact waste collectors']
19;01/12/2023 03:10:00;-33.050642;-71.535046;15;22;40;smoking;wood;98;['Notify local authorities', 'Notify local collaborators']
20;01/12/2023 03:20:00;-33.055642000000006;-71.535046;16;51;40;wastes;wood;60;['Notify local collaborators', 'Contact waste collectors']
21;01/12/2023 03:30:00;-33.055642000000006;-71.530046;17;51;42;gas recipient;road;758;[]
22;01/12/2023 03:40:00;-33.055642000000006;-71.525046;17;54;40;lit campfire;street;739;['Notify local authorities']
23;01/12/2023 03:50:00;-33.055642000000006;-71.52004600000001;16;51;38;none;electric connection;89;['Propose monitoring flight']
24;01/12/2023 04:00:00;-33.055642000000006;-71.51504600000001;17;48;14;glass bottle;electric connection;16;['Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
25;01/12/2023 04:10:00;-33.055642000000006;-71.51004600000002;18;52;14;smoke;grass;56;['Call fire fighters', 'Notify government authorities', 'Notify local authorities', 'Evacuate zone', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators']
26;01/12/2023 04:20:00;-33.055642000000006;-71.50504600000002;19;52;16;illegal electricity connection;highway;359;[]
27;01/12/2023 04:30:00;-33.055642000000006;-71.50004600000003;31;52;18;lighting a grill;grass;58;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators', 'Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
28;01/12/2023 04:40:00;-33.055642000000006;-71.49504600000003;32;55;16;lit campfire;dry grass;35;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators', 'Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
29;01/12/2023 04:50:00;-33.055642000000006;-71.49004600000004;32;58;18;glass bottle;grass;57;['Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
30;01/12/2023 05:00:00;-33.06064200000001;-71.49004600000004;31;18;16;none;dry grass;214;['Propose monitoring flight']
31;01/12/2023 05:10:00;-33.06064200000001;-71.49504600000003;30;18;18;smoke;ground;46;['Call fire fighters', 'Notify government authorities', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators', 'Notify local collaborators']
32;01/12/2023 05:20:00;-33.06064200000001;-71.50004600000003;31;15;16;smoking;house;44;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
33;01/12/2023 05:30:00;-33.06064200000001;-71.50504600000002;31;18;14;smoke;fuel recipient;5;['Call fire fighters', 'Notify government authorities', 'Notify local authorities', 'Evacuate zone', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators']
34;01/12/2023 05:40:00;-33.06064200000001;-71.51004600000002;30;21;12;burning waste;highway;135;['Notify local authorities']
35;01/12/2023 05:50:00;-33.06064200000001;-71.51504600000001;30;66;12;lit campfire;trash;51;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators', 'Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
36;01/12/2023 06:00:00;-33.06064200000001;-71.52004600000001;20;69;24;wood;fuel recipient;282;[]
37;01/12/2023 06:10:00;-33.06064200000001;-71.525046;20;66;26;illegal electricity connection;wood;77;['Notify local authorities', 'Notify power company', 'Notify local collaborators']
38;01/12/2023 06:20:00;-33.06064200000001;-71.530046;21;66;24;gas recipient;house;49;['Notify local authorities', 'Notify local collaborators']
39;01/12/2023 06:30:00;-33.06064200000001;-71.535046;22;63;26;glass;road;157;['Contact waste collectors']
40;01/12/2023 06:40:00;-33.06564200000001;-71.535046;23;54;24;lit campfire;road;10;['Request support to security forces', 'Notify government authorities', 'Notify local authorities']
41;01/12/2023 06:50:00;-33.06564200000001;-71.530046;24;51;24;wood;highway;104;[]
42;01/12/2023 07:00:00;-33.06564200000001;-71.525046;25;54;24;illegal electricity connection;trees;296;[]
43;01/12/2023 07:10:00;-33.06564200000001;-71.52004600000001;24;51;24;grill on;house;18;['Notify local authorities', 'Notify local collaborators']
44;01/12/2023 07:20:00;-33.06564200000001;-71.51504600000001;25;54;24;burning waste;ground;72;['Request support to security forces', 'Notify government authorities', 'Notify local authorities']
45;01/12/2023 07:30:00;-33.06564200000001;-71.51004600000002;37;119;24;bonfire;grass;68;['Notify local authorities', 'Call fire fighters', 'Notify local collaborators']
46;01/12/2023 07:40:00;-33.06564200000001;-71.50504600000002;37;119;22;glass bottle;dry grass;141;['Contact waste collectors']
47;01/12/2023 07:50:00;-33.06564200000001;-71.50004600000003;38;122;20;grill on;road;71;['Notify local authorities', 'Notify local collaborators']
48;01/12/2023 08:00:00;-33.06564200000001;-71.49504600000003;38;125;52;bonfire;highway;17;['Notify local authorities', 'Call fire fighters', 'Notify local collaborators']
49;01/12/2023 08:10:00;-33.06564200000001;-71.49004600000004;39;128;52;dry grass;electric connection;20;['Notify local authorities', 'Notify local collaborators']
50;01/12/2023 08:20:00;-33.070642000000014;-71.49004600000004;40;90;54;grill on;tent;622;[]
51;01/12/2023 08:30:00;-33.070642000000014;-71.49504600000003;39;90;52;fire;ground;31;['Call fire fighters', 'Notify government authorities', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators', 'Notify local collaborators']
52;01/12/2023 08:40:00;-33.070642000000014;-71.50004600000003;40;90;50;suspicious presence;house;9;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
53;01/12/2023 08:50:00;-33.070642000000014;-71.50504600000002;41;87;48;soldering;wood;20;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
54;01/12/2023 09:00:00;-33.070642000000014;-71.51004600000002;15;87;46;grill on;tent;228;[]
55;01/12/2023 09:10:00;-33.070642000000014;-71.51504600000001;14;62;46;lit campfire;tent;29;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
56;01/12/2023 09:20:00;-33.070642000000014;-71.52004600000001;13;62;44;glass bottle;trees;100;['Contact waste collectors']
57;01/12/2023 09:30:00;-33.070642000000014;-71.525046;12;65;46;none;wood;32;['Propose monitoring flight']
58;01/12/2023 09:40:00;-33.070642000000014;-71.530046;13;65;44;burning waste;fuel recipient;140;['Notify local authorities']
59;01/12/2023 09:50:00;-33.070642000000014;-71.535046;13;65;42;glass bottle;tent;6;['Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
60;01/12/2023 10:00:00;-33.075642000000016;-71.535046;12;52;52;suspicious presence;ground;21;['Request support to security forces', 'Notify government authorities', 'Notify local authorities']
61;01/12/2023 10:10:00;-33.075642000000016;-71.530046;13;52;50;grill on;tent;124;[]
62;01/12/2023 10:20:00;-33.075642000000016;-71.525046;14;49;50;none;ground;19;['Propose monitoring flight']
63;01/12/2023 10:30:00;-33.075642000000016;-71.52004600000001;32;49;48;lit campfire;tent;39;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
64;01/12/2023 10:40:00;-33.075642000000016;-71.51504600000001;33;49;50;grill on;grass;2;['Notify local authorities', 'Notify local collaborators']
65;01/12/2023 10:50:00;-33.075642000000016;-71.51004600000002;34;55;48;lit campfire;house;159;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
66;01/12/2023 11:00:00;-33.075642000000016;-71.50504600000002;33;58;50;wood;street;3;['Contact waste collectors', 'Notify local collaborators']
67;01/12/2023 11:10:00;-33.075642000000016;-71.50004600000003;34;61;50;wastes;tent;55;['Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
68;01/12/2023 11:20:00;-33.075642000000016;-71.49504600000003;35;58;48;grill on;trash;1;['Notify local authorities', 'Notify local collaborators']
69;01/12/2023 11:30:00;-33.075642000000016;-71.49004600000004;34;58;48;burning waste;electric connection;164;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
70;01/12/2023 11:40:00;-33.08064200000002;-71.49004600000004;34;83;46;illegal electricity connection;electric connection;499;[]
71;01/12/2023 11:50:00;-33.08064200000002;-71.49504600000003;35;86;48;glass;fuel recipient;126;['Contact waste collectors']
72;01/12/2023 12:00:00;-33.08064200000002;-71.50004600000003;36;89;8;suspicious presence;road;65;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators', 'Request support to security forces', 'Notify government authorities', 'Notify local authorities']
73;01/12/2023 12:10:00;-33.08064200000002;-71.50504600000002;36;92;10;grill on;electric connection;18;['Notify local authorities', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators']
74;01/12/2023 12:20:00;-33.08064200000002;-71.51004600000002;37;89;10;fire;wood;46;['Call fire fighters', 'Notify government authorities', 'Notify local authorities', 'Evacuate zone', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators']
75;01/12/2023 12:30:00;-33.08064200000002;-71.51504600000001;38;109;10;dry grass;street;45;['Notify local collaborators']
76;01/12/2023 12:40:00;-33.08064200000002;-71.52004600000001;38;112;8;bonfire;fuel recipient;490;['Call fire fighters']
77;01/12/2023 12:50:00;-33.08064200000002;-71.525046;37;115;6;wood;street;494;[]
78;01/12/2023 13:00:00;-33.08064200000002;-71.530046;37;118;8;soldering;trees;10;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators', 'Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
79;01/12/2023 13:10:00;-33.08064200000002;-71.535046;36;115;6;burning waste;wood;11;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators', 'Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
80;01/12/2023 13:20:00;-33.08564200000002;-71.535046;36;47;8;lighting a grill;grass;266;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
81;01/12/2023 13:30:00;-33.08564200000002;-71.530046;26;44;6;wood;electric connection;22;['Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
82;01/12/2023 13:40:00;-33.08564200000002;-71.525046;25;41;8;suspicious presence;grass;78;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
83;01/12/2023 13:50:00;-33.08564200000002;-71.52004600000001;26;41;8;wood;trees;71;['Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
84;01/12/2023 14:00:00;-33.08564200000002;-71.51504600000001;27;41;39;grill on;tent;108;[]
85;01/12/2023 14:10:00;-33.08564200000002;-71.51004600000002;26;74;37;dry grass;street;490;[]
86;01/12/2023 14:20:00;-33.08564200000002;-71.50504600000002;26;71;35;glass;dry grass;21;['Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
87;01/12/2023 14:30:00;-33.08564200000002;-71.50004600000003;27;68;33;glass bottle;wood;374;['Contact waste collectors']
88;01/12/2023 14:40:00;-33.08564200000002;-71.49504600000003;28;68;33;bonfire;fuel recipient;20;['Notify local authorities', 'Call fire fighters', 'Notify local collaborators']
89;01/12/2023 14:50:00;-33.08564200000002;-71.49004600000004;28;71;31;gas recipient;trees;52;['Notify local collaborators']
90;01/12/2023 15:00:00;-33.08564200000002;-71.48504600000004;21;108;31;glass;electric connection;373;['Contact waste collectors']
91;01/12/2023 15:10:00;-33.08564200000002;-71.48004600000004;22;111;33;dry grass;wood;46;['Notify local authorities', 'Notify local collaborators']
92;01/12/2023 15:20:00;-33.08564200000002;-71.47504600000005;23;114;33;gas recipient;ground;27;[]
93;01/12/2023 15:30:00;-33.08564200000002;-71.47004600000005;22;111;33;smoking;ground;43;['Request support to security forces', 'Notify government authorities', 'Notify local authorities']
94;01/12/2023 15:40:00;-33.08564200000002;-71.46504600000006;23;114;35;lit campfire;dry grass;72;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
95;01/12/2023 15:50:00;-33.08564200000002;-71.46004600000006;22;24;33;soldering;house;122;['Notify local authorities']
96;01/12/2023 16:00:00;-33.08564200000002;-71.45504600000007;21;27;4;bonfire;street;38;['Call fire fighters']
97;01/12/2023 16:10:00;-33.08564200000002;-71.45004600000007;22;30;2;burning waste;trees;47;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
98;01/12/2023 16:20:00;-33.08564200000002;-71.44504600000008;22;33;4;grill on;road;36;['Notify local authorities', 'Notify local collaborators']
99;01/12/2023 16:30:00;-33.08564200000002;-71.44004600000008;18;30;2;none;ground;256;[]
100;01/12/2023 16:40:00;-33.08064200000002;-71.44004600000008;18;73;4;burning waste;grass;283;['Notify local authorities']
101;01/12/2023 16:50:00;-33.08064200000002;-71.44504600000008;19;73;6;burning waste;trash;25;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
102;01/12/2023 17:00:00;-33.08064200000002;-71.45004600000007;20;70;6;none;ground;110;['Propose monitoring flight']
103;01/12/2023 17:10:00;-33.08064200000002;-71.45504600000007;19;70;4;lit campfire;grass;44;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
104;01/12/2023 17:20:00;-33.08064200000002;-71.46004600000006;19;73;2;glass;trees;627;['Contact waste collectors']
105;01/12/2023 17:30:00;-33.08064200000002;-71.46504600000006;19;21;2;gas recipient;trees;268;[]
106;01/12/2023 17:40:00;-33.08064200000002;-71.47004600000005;18;18;4;wood;electric connection;293;[]
107;01/12/2023 17:50:00;-33.08064200000002;-71.47504600000005;19;18;4;none;grass;14;['Propose monitoring flight']
108;01/12/2023 18:00:00;-33.08064200000002;-71.48004600000004;36;15;20;wood;dry grass;283;[]
109;01/12/2023 18:10:00;-33.08064200000002;-71.48504600000004;37;18;20;none;highway;14;['Propose monitoring flight']
110;01/12/2023 18:20:00;-33.075642000000016;-71.48504600000004;36;117;18;illegal electricity connection;trees;59;['Notify local authorities', 'Notify power company', 'Notify local collaborators']
111;01/12/2023 18:30:00;-33.075642000000016;-71.48004600000004;36;120;18;soldering;grass;353;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
112;01/12/2023 18:40:00;-33.075642000000016;-71.47504600000005;36;117;16;suspicious presence;highway;113;['Request support to security forces', 'Notify government authorities', 'Notify local authorities']
113;01/12/2023 18:50:00;-33.075642000000016;-71.47004600000005;36;114;16;papers;fuel recipient;36;['Notify local authorities', 'Contact waste collectors', 'Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
114;01/12/2023 19:00:00;-33.075642000000016;-71.46504600000006;36;111;14;gas recipient;trees;88;['Notify local authorities', 'Notify local collaborators']
115;01/12/2023 19:10:00;-33.075642000000016;-71.46004600000006;36;25;12;none;highway;67;['Propose monitoring flight']
116;01/12/2023 19:20:00;-33.075642000000016;-71.45504600000007;37;25;12;wastes;tent;203;['Contact waste collectors']
117;01/12/2023 19:30:00;-33.075642000000016;-71.45004600000007;23;28;10;illegal electricity connection;trees;56;['Notify local collaborators']
118;01/12/2023 19:40:00;-33.075642000000016;-71.44504600000008;23;25;8;lighting a grill;grass;104;['Notify local authorities']
119;01/12/2023 19:50:00;-33.075642000000016;-71.44004600000008;23;25;8;wood;house;28;['Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
120;01/12/2023 20:00:00;-33.070642000000014;-71.44004600000008;24;97;59;none;house;44;['Propose monitoring flight']
121;01/12/2023 20:10:00;-33.070642000000014;-71.44504600000008;24;100;57;smoke;electric connection;15;['Call fire fighters', 'Notify government authorities', 'Notify local authorities', 'Evacuate zone', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators']
122;01/12/2023 20:20:00;-33.070642000000014;-71.45004600000007;25;103;57;fire;street;92;['Call fire fighters', 'Notify government authorities', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators', 'Notify local collaborators']
123;01/12/2023 20:30:00;-33.070642000000014;-71.45504600000007;24;106;55;papers;trees;23;['Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
124;01/12/2023 20:40:00;-33.070642000000014;-71.46004600000006;24;106;53;lighting a grill;wood;10;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
125;01/12/2023 20:50:00;-33.070642000000014;-71.46504600000006;24;30;51;illegal electricity connection;grass;23;['Notify local authorities', 'Notify power company', 'Notify local collaborators']
126;01/12/2023 21:00:00;-33.070642000000014;-71.47004600000005;18;30;53;wastes;street;8;['Contact waste collectors']
127;01/12/2023 21:10:00;-33.070642000000014;-71.47504600000005;17;30;53;grill on;trash;40;['Notify local authorities', 'Notify local collaborators']
128;01/12/2023 21:20:00;-33.070642000000014;-71.48004600000004;18;27;53;wood;electric connection;105;[]
129;01/12/2023 21:30:00;-33.070642000000014;-71.48504600000004;18;27;55;smoke;dry grass;322;['Call fire fighters', 'Notify government authorities', 'Notify local authorities', 'Evacuate zone', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators']
130;01/12/2023 21:40:00;-33.06564200000001;-71.48504600000004;19;115;55;soldering;tent;31;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
131;01/12/2023 21:50:00;-33.06564200000001;-71.48004600000004;19;112;57;wastes;road;18;['Contact waste collectors']
132;01/12/2023 22:00:00;-33.06564200000001;-71.47504600000005;20;112;31;glass;dry grass;11;['Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
133;01/12/2023 22:10:00;-33.06564200000001;-71.47004600000005;20;112;31;smoking;house;129;['Notify local authorities']
134;01/12/2023 22:20:00;-33.06564200000001;-71.46504600000006;19;112;31;soldering;highway;8;['Request support to security forces', 'Notify government authorities', 'Notify local authorities']
135;01/12/2023 22:30:00;-33.06564200000001;-71.46004600000006;25;118;31;dry grass;street;7;[]
136;01/12/2023 22:40:00;-33.06564200000001;-71.45504600000007;26;118;29;wastes;ground;379;['Contact waste collectors']
137;01/12/2023 22:50:00;-33.06564200000001;-71.45004600000007;25;115;31;fire;trees;179;['Call fire fighters', 'Notify government authorities', 'Notify local authorities', 'Evacuate zone', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators']
138;01/12/2023 23:00:00;-33.06564200000001;-71.44504600000008;24;112;33;wastes;road;71;['Contact waste collectors']
139;01/12/2023 23:10:00;-33.06564200000001;-71.44004600000008;25;112;35;glass;trash;65;['Notify local collaborators', 'Contact waste collectors']
140;01/12/2023 23:20:00;-33.06064200000001;-71.44004600000008;25;69;37;lit campfire;street;217;['Notify local authorities']
141;01/12/2023 23:30:00;-33.06064200000001;-71.44504600000008;25;66;37;glass bottle;street;25;['Contact waste collectors']
142;01/12/2023 23:40:00;-33.06064200000001;-71.45004600000007;25;66;39;lit campfire;house;829;['Notify local authorities']
143;01/12/2023 23:50:00;-33.06064200000001;-71.45504600000007;26;69;37;none;wood;130;[]
144;02/12/2023 00:00:00;-33.045642;-71.535046;19;66;2;grill on;ground;145;[]
145;02/12/2023 00:10:00;-33.045642;-71.530046;18;49;4;bonfire;trash;44;['Notify local authorities', 'Call fire fighters', 'Notify local collaborators']
146;02/12/2023 00:20:00;-33.045642;-71.525046;18;49;4;suspicious presence;tent;622;['Notify local authorities']
147;02/12/2023 00:30:00;-33.045642;-71.52004600000001;19;49;4;lighting a grill;electric connection;5;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
148;02/12/2023 00:40:00;-33.045642;-71.51504600000001;19;49;4;gas recipient;trees;21;['Notify local authorities', 'Notify local collaborators']
149;02/12/2023 00:50:00;-33.045642;-71.51004600000002;20;49;4;burning waste;wood;575;['Notify local authorities']
150;02/12/2023 01:00:00;-33.050642;-71.51004600000002;19;33;6;suspicious presence;street;521;['Notify local authorities']
151;02/12/2023 01:10:00;-33.050642;-71.51504600000001;19;33;4;none;road;175;['Propose monitoring flight']
152;02/12/2023 01:20:00;-33.050642;-71.52004600000001;18;33;4;grill on;ground;122;[]
153;02/12/2023 01:30:00;-33.050642;-71.525046;32;36;4;lit campfire;ground;2;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators', 'Request support to security forces', 'Notify government authorities', 'Notify local authorities']
154;02/12/2023 01:40:00;-33.050642;-71.530046;31;39;4;glass;road;38;['Contact waste collectors', 'Notify local collaborators']
155;02/12/2023 01:50:00;-33.050642;-71.535046;31;68;2;grill on;trees;38;['Notify local authorities', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators']
156;02/12/2023 02:00:00;-33.050642;-71.54004599999999;30;68;51;dry grass;tent;40;['Notify local authorities', 'Notify local collaborators']
157;02/12/2023 02:10:00;-33.050642;-71.54504599999999;29;71;53;none;fuel recipient;1;['Propose monitoring flight']
158;02/12/2023 02:20:00;-33.050642;-71.55004599999998;30;74;51;smoke;ground;47;['Call fire fighters', 'Notify government authorities', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators', 'Notify local collaborators']
159;02/12/2023 02:30:00;-33.050642;-71.55504599999998;29;71;53;bonfire;trash;67;['Notify local collaborators', 'Call fire fighters']
160;02/12/2023 02:40:00;-33.055642000000006;-71.55504599999998;28;60;55;illegal electricity connection;grass;140;[]
161;02/12/2023 02:50:00;-33.055642000000006;-71.55004599999998;27;60;57;smoke;house;6;['Call fire fighters', 'Notify government authorities', 'Notify local authorities', 'Evacuate zone', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators']
162;02/12/2023 03:00:00;-33.055642000000006;-71.54504599999999;16;60;57;soldering;ground;159;['Notify local authorities']
163;02/12/2023 03:10:00;-33.055642000000006;-71.54004599999999;16;60;55;lighting a grill;house;178;['Notify local authorities']
164;02/12/2023 03:20:00;-33.055642000000006;-71.535046;15;57;55;papers;tent;883;['Contact waste collectors']
165;02/12/2023 03:30:00;-33.055642000000006;-71.530046;15;114;53;wood;trash;449;[]
166;02/12/2023 03:40:00;-33.055642000000006;-71.525046;14;114;51;wastes;grass;35;['Notify local authorities', 'Contact waste collectors', 'Notify local collaborators']
167;02/12/2023 03:50:00;-33.055642000000006;-71.52004600000001;15;111;53;illegal electricity connection;tent;71;['Notify local collaborators']
168;02/12/2023 04:00:00;-33.055642000000006;-71.51504600000001;16;114;43;suspicious presence;fuel recipient;690;['Notify local authorities']
169;02/12/2023 04:10:00;-33.055642000000006;-71.51004600000002;17;117;45;papers;tent;502;['Contact waste collectors']
170;02/12/2023 04:20:00;-33.06064200000001;-71.51004600000002;16;109;47;gas recipient;grass;80;['Notify local collaborators']
171;02/12/2023 04:30:00;-33.06064200000001;-71.51504600000001;38;112;49;wood;tent;139;[]
172;02/12/2023 04:40:00;-33.06064200000001;-71.52004600000001;37;115;49;none;road;288;[]
173;02/12/2023 04:50:00;-33.06064200000001;-71.525046;38;112;49;suspicious presence;ground;69;['Request support to security forces', 'Notify government authorities', 'Notify local authorities']
174;02/12/2023 05:00:00;-33.06064200000001;-71.530046;37;115;49;fire;road;156;['Call fire fighters', 'Notify government authorities', 'Request support to security forces', 'Notify local collaborators']
175;02/12/2023 05:10:00;-33.06064200000001;-71.535046;36;71;51;lighting a grill;fuel recipient;82;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
176;02/12/2023 05:20:00;-33.06064200000001;-71.54004599999999;35;68;53;fire;dry grass;427;['Call fire fighters', 'Notify government authorities', 'Notify local authorities', 'Evacuate zone', 'Request support to security forces', 'Notify local collaborators', 'Notify local authorities', 'Notify local collaborators']
177;02/12/2023 05:30:00;-33.06064200000001;-71.54504599999999;34;71;53;smoking;trees;127;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
178;02/12/2023 05:40:00;-33.06064200000001;-71.55004599999998;35;74;55;soldering;electric connection;23;['Request support to security forces', 'Notify government authorities', 'Notify local authorities', 'Notify local collaborators']
179;02/12/2023 05:50:00;-33.06064200000001;-71.55504599999998;34;74;57;gas recipient;trees;9;['Notify local authorities', 'Notify local collaborators']
180;02/12/2023 06:00:00;-33.06064200000001;-71.56004599999997;17;31;37;illegal electricity connection;fuel recipient;2;['Notify local authorities', 'Notify power company', 'Notify local collaborators']
181;02/12/2023 06:10:00;-33.06064200000001;-71.56504599999997;16;28;39;wastes;trash;576;[]
182;02/12/2023 06:20:00;-33.06064200000001;-71.57004599999996;16;25;41;suspicious presence;highway;128;['Notify local authorities']
183;02/12/2023 06:30:00;-33.06064200000001;-71.57504599999996;16;22;43;grill on;grass;581;[]
